pypsa_id,voltage,bus0,bus1,length_km,reasons_unmatched
relation/12300322-220,220,way/156673637-220,way/167352587-220,32.18913,"Long line, possible cross-border or in area not covered by JAO"
relation/3742238-220,220,way/156673637-220,way/167352587-220,32.18913,"Long line, possible cross-border or in area not covered by JAO"
merged_way/41981234-220+2,220,way/147521567-220,way/160929097-220,31.43386,"Long line, possible cross-border or in area not covered by JAO"
relation/3730414-220,220,way/173112252-220,way/943135226-220,30.18156,"Long line, possible cross-border or in area not covered by JAO"
relation/4815174-220,220,way/173112252-220,way/943135226-220,30.18156,"Long line, possible cross-border or in area not covered by JAO"
merged_way/971780154-1-220-b+1,220,way/26472665-220,DE29-220,29.61388,"Long line, possible cross-border or in area not covered by JAO"
merged_way/40162573-1-220+4,220,DE39-220,way/29472852-220,27.74487,"Long line, possible cross-border or in area not covered by JAO"
relation/10492657-220-b,220,way/23161029-220,way/32843531-220,27.71257,"Long line, possible cross-border or in area not covered by JAO"
relation/3739951-220-b,220,way/23161029-220,way/32843531-220,27.71257,"Long line, possible cross-border or in area not covered by JAO"
merged_way/146086014-220+2,220,way/169244940-220,way/23284340-220,27.51192,"Long line, possible cross-border or in area not covered by JAO"
relation/3862874-220-b,220,way/23816140-220,way/274621059-220,26.49456,"Long line, possible cross-border or in area not covered by JAO"
merged_way/145129281-2-220+2,220,DE180-220,way/143903369-220,25.53007,"Long line, possible cross-border or in area not covered by JAO"
relation/1605949-220,220,way/24667346-220,way/83916207-220,22.26047,"Long line, possible cross-border or in area not covered by JAO"
merged_way/51370887-220+6,220,DE22-220,DE21-220,22.102,"Long line, possible cross-border or in area not covered by JAO"
relation/272729-220-b,220,way/32725957-220,way/32966636-220,21.872130000000002,"Long line, possible cross-border or in area not covered by JAO"
merged_way/41981221-1-220+4,220,way/147521567-220,way/1223405794-220,21.52777,"Long line, possible cross-border or in area not covered by JAO"
merged_way/231741801-2-220+1,220,DE179-220,way/1327333163-220,21.02892,"Long line, possible cross-border or in area not covered by JAO"
relation/13073144-220,220,DE47-220,way/26472665-220,20.62304,"Long line, possible cross-border or in area not covered by JAO"
relation/3803496-220-b,220,way/89176939-220,way/151967290-220,20.55878,"Long line, possible cross-border or in area not covered by JAO"
relation/1167333-220,220,way/24462426-220,DE83-220,20.03362,"Long line, possible cross-border or in area not covered by JAO"
